ISCO_4d_name,Neuroticism,Extraversion,Openness,Agreeableness,Conscientiousness
Judges,48.25,50.21,52.09,48.87,50.74
Legal Professionals,49.95,51.29,52.82,48.7,51.69
Archivists and Curators,53.59,50,51.63,53.28,49.46
Librarians and Related Information Professionals,52.97,50.17,48.85,53.37,47.9
Economists,49.49,49.44,50.06,52.69,50.34
Psychologists,49.47,53.63,55.9,55.18,47.09
Social Work and Counselling Professionals,51.51,53.49,51.18,52.75,49.28
Religious Professionals,49.88,52.39,53.72,53.67,48.54
Unspecified Editors (text, book etc.),53.65,51.11,52.84,50.99,46.76
Authors and Related Writers,53.47,49.81,55.39,50.6,46.72
Journalists,53.45,52.14,54.82,48.45,46.31
Translators, Interpreters and Other Linguists,54.82,48.46,53.59,52.38,48
Visual Artists,54.81,50.61,57.65,51.39,46.12
Musicians, Singers and Composers,53.13,51.58,53.77,50,47.81
Film, Stage and Related Directors and Producers,52.43,52.33,54.82,47.65,47.71
Actors,56.61,53.67,56.12,49.97,46.81
Unspecified Associate Professionals,50.92,49.95,49.62,50.69,50.46
Unspecified Technicians,46.83,45.56,49.8,47.16,48.97
Unspecified Heads of Shifts,50.15,50.88,48.13,49.97,51.92
Unspecified Coordinators,53.42,51.76,51.37,50.93,49.06
Unspecified Laboratory Technicians/Assistants,51.44,47.35,48.97,51.72,49.06
Unspecified Inspectors,48.85,49.54,47.85,50.1,50.62
Unspecified Officials,49.5,50.51,48.55,50.24,50.42
Civil Engineering Technicians,48.01,46.49,50.54,48.43,48.92
Electrical Engineering Technicians,45.14,46.04,50.99,48.01,47.59
Mechanical Engineering Technicians,46.58,45.09,49.26,47.37,49.7
Draughtspersons,49.63,47.43,51.32,47.62,47.5
Mining, Manufacturing and Construction Supervisors,44.5,47.82,49.46,45.87,50.43
Manufacturing Supervisors,47.99,48.06,49.06,47.83,51.45
Construction Supervisors,44.33,47.29,50.29,46.35,50.65
Process Control Technicians,48.31,47.26,50.74,50.11,48.33
Life Science Technicians (excluding Medical),47.73,47.39,48.99,48.4,49.02
Forestry Technicians,46.95,45.5,50.09,48.84,49.03
Ships’ Engineers,44.31,46.4,50.37,46.52,51.73
Ships’ Deck Officers and Pilots,45.56,46.64,48.97,46,50.99
Aircraft Pilots and Related Associate Professionals,44.48,46.68,51.07,47.71,50.72
Air Traffic Controllers,45.23,47.55,50.67,46.6,50.39
Medical Imaging and Therapeutic Equipment Technicians,52.71,48.94,48.47,51.87,49.09
Medical and Pathology Laboratory Technicians,54.12,49.55,52.02,52.05,49.18
Medical and Dental Prosthetic Technicians,52.95,49.23,49.15,50.77,51.04
Dental Assistants and Therapists,50.47,52.47,50.04,51.42,52.15
Dispensing Opticians,51.31,51.31,48.22,49.38,51.29
Physiotherapy Technicians and Assistants (Massagists),49.27,52.19,50.46,52.26,49.13
Medical Assistants,53.78,51.52,52.63,49.68,51.94
Environmental and Occupational Health Inspectors and Associates,50.83,53.18,49.66,51.01,50.52
Ambulance Workers,48.9,49.43,51.16,50.11,50.59
Credit and Loans Officers,50.65,53.44,47.68,50,51.96
Accounting Associate Professionals,51.94,49.49,45.68,52.31,51.02
Statistical, Mathematical and Related Associate Professionals,52.78,48.93,47.65,52.61,49.48
Valuers and Loss Assessors,50.39,49.24,48.93,49.01,50.35
Insurance Representatives,50.58,51.64,47.96,50.92,49.08
Commercial Sales Representatives,51.27,52.7,49.03,48.85,49.63
Buyers,51.12,50.81,48.1,49.54,51.14
Clearing and Forwarding Agents,49.09,52.36,48.38,48.62,49.51
Conference and Event Planners,49.21,53.93,50.25,48.72,49.6
Employment Agents and Contractors,50.52,54.15,48.63,49.29,49.22
Real Estate Agents and Property Managers,47.31,52.59,49.26,47.31,48.46
Office Supervisors,51.1,52.96,49.48,50.16,51.53
Administrative and Executive Secretaries,53.3,52,47.69,51.61,50.99
Government Regulatory Associate Professionals (unspecified),48.25,49.05,49.21,49.48,50.17
Customs and Border Inspectors,49.06,48.02,48.61,49.73,49.4
Police Inspectors and Detectives,47.48,49.87,48.88,48.69,50.7
Government Regulatory Associate Professionals Not Elsewhere Classified,49.81,49.63,48.67,49.44,49.55
Legal and Related Associate Professionals,52.08,51.04,48.98,49.84,52.15
Social Work Associate Professionals,50.91,51.86,50.06,52.63,49.77
Sports Coaches, Instructors and Officials,49.28,53.21,49.71,49.88,50.35
Fitness and Recreation Instructors and Programme Leaders,49.2,53.74,50.22,49.96,49.06
Photographers,52.45,52.52,53.38,51.44,48.4
Interior Designers and Decorators,53.17,50.52,51.42,50.81,50.75
Chefs,51.21,49.92,48.77,47.95,52.62
